Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lithuania,LTU,2.03,1.39,1.55,1.6,1.59,1.63,1.7,1.69,1.63,1.63,1.61,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Luxembourg,LUX,1.6,1.76,1.52,1.57,1.55,1.5,1.47,1.41,1.39,1.38,1.34,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Macao SAR, China",MAC,1.722,0.95,1.131,1.161,1.183,1.196,1.203,1.207,1.211,1.217,1.228,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Madagascar,MDG,6.179,5.551,4.52,4.442,4.369,4.302,4.241,4.184,4.13,4.077,4.026,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Malawi,MWI,6.872,6.098,5.161,4.988,4.821,4.666,4.527,4.407,4.302,4.209,4.127,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Malaysia,MYS,3.554,2.784,2.129,2.11,2.092,2.074,2.056,2.037,2.019,2.001,1.983,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Maldives,MDV,6.003,2.771,2.171,2.129,2.084,2.038,1.991,1.947,1.906,1.87,1.84,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mali,MLI,7.165,6.897,6.474,6.396,6.315,6.231,6.145,6.057,5.968,5.877,5.785,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Malta,MLT,2.02,1.68,1.45,1.42,1.36,1.38,1.37,1.37,1.26,1.23,1.1,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Marshall Islands,MHL,..,..,4.05,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mauritania,MRT,5.881,5.413,4.939,4.895,4.847,4.794,4.738,4.679,4.619,4.561,4.503,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mauritius,MUS,2.32,1.99,1.55,1.54,1.44,1.43,1.36,1.4,1.44,1.41,1.4,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mexico,MEX,3.47,2.716,2.317,2.294,2.27,2.243,2.215,2.186,2.157,2.129,2.103,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Micronesia, Fed. Sts.",FSM,4.958,4.3,3.402,3.347,3.294,3.243,3.193,3.145,3.098,3.053,3.01,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Moldova,MDA,2.414,1.435,1.276,1.273,1.27,1.265,1.261,1.259,1.259,1.262,1.269,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mongolia,MNG,4.052,2.141,2.722,2.794,2.852,2.894,2.918,2.923,2.914,2.895,2.867,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Montenegro,MNE,2.078,1.875,1.741,1.728,1.72,1.719,1.723,1.73,1.738,1.745,1.748,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Morocco,MAR,4.047,2.771,2.576,2.579,2.571,2.552,2.524,2.489,2.451,2.415,2.382,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mozambique,MOZ,6.211,5.826,5.329,5.264,5.198,5.131,5.062,4.992,4.922,4.852,4.783,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Myanmar,MMR,3.447,2.878,2.312,2.274,2.242,2.217,2.198,2.182,2.168,2.154,2.138,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Namibia,NAM,5.219,3.88,3.632,3.623,3.604,3.577,3.54,3.496,3.447,3.396,3.344,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nepal,NPL,5.172,3.955,2.444,2.351,2.261,2.176,2.098,2.027,1.967,1.917,1.876,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Netherlands,NLD,1.62,1.72,1.76,1.72,1.68,1.71,1.66,1.66,1.62,1.59,1.57,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,New Caledonia,NCL,3.18,2.59,2.15,2.28,2.19,2.17,2.06,2.08,1.97,1.97,1.94,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,New Zealand,NZL,2.18,1.98,2.09,2.1,2.01,1.92,1.99,1.87,1.81,1.71,1.72,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nicaragua,NIC,4.596,3.111,2.575,2.55,2.526,2.503,2.48,2.455,2.43,2.404,2.377,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Niger,NER,7.772,7.679,7.429,7.376,7.314,7.245,7.169,7.087,7.001,6.913,6.824,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nigeria,NGA,6.49,6.106,5.802,5.758,5.709,5.653,5.592,5.526,5.457,5.387,5.317,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,North Macedonia,MKD,2.206,1.723,1.477,1.488,1.497,1.504,1.507,1.506,1.501,1.496,1.489,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Norway,NOR,1.93,1.85,1.88,1.85,1.78,1.75,1.72,1.71,1.62,1.56,1.53,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Oman,OMN,7.165,3.716,2.882,2.896,2.913,2.93,2.939,2.937,2.92,2.888,2.842,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Pakistan,PAK,6.164,5.037,3.88,3.816,3.759,3.708,3.66,3.612,3.562,3.51,3.454,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Palau,PLW,2.84,1.83,..,2.23,..,..,2.21,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Panama,PAN,3.057,2.744,2.613,2.601,2.584,2.564,2.54,2.514,2.487,2.461,2.437,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Papua New Guinea,PNG,4.802,4.525,3.926,3.869,3.812,3.758,3.707,3.657,3.61,3.564,3.52,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Paraguay,PRY,4.547,3.553,2.675,2.625,2.581,2.542,2.508,2.479,2.453,2.429,2.405,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Peru,PER,3.912,2.845,2.493,2.441,2.394,2.355,2.323,2.297,2.275,2.254,2.233,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Philippines,PHL,4.32,3.811,3.121,3.055,2.979,2.894,2.805,2.718,2.64,2.576,2.526,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Poland,POL,2.06,1.37,1.33,1.33,1.29,1.32,1.32,1.39,1.48,1.46,1.42,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Portugal,PRT,1.56,1.55,1.35,1.28,1.21,1.23,1.31,1.36,1.38,1.42,1.42,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Puerto Rico,PRI,2.219,2.0485,1.5965,1.5425,1.47,1.432,1.3365,1.2425,1.101,1.035,1.035,..
